step,time,kinetic,potential,total,drift_rel,Linfty
20,0.01,834.959,2.66169,837.621,0,0.78503
40,0.02,1282.22,1.27988,1283.5,0.532318,0.56473
60,0.03,2420.61,1.60988,2422.22,1.89179,0.411934
80,0.04,957.465,0.899679,958.365,0.144152,0.294111
100,0.05,1398.55,0.35242,1398.91,0.670095,0.245515
120,0.06,506.501,0.131635,506.633,0.395152,0.338018
140,0.07,435.008,0.433869,435.442,0.480144,0.379957
160,0.08,485.915,0.422562,486.337,0.419382,0.369868
180,0.09,454.133,0.120834,454.254,0.457685,0.389582
200,0.1,522.146,0.64572,522.791,0.375861,0.368414
220,0.11,275.259,0.471806,275.73,0.670817,0.361201
240,0.12,355.646,0.498561,356.144,0.574814,0.35275
260,0.13,360.193,0.67852,360.871,0.569171,0.318741
280,0.14,244.468,0.500231,244.968,0.707543,0.296874
300,0.15,429.482,0.724187,430.206,0.486395,0.288187
320,0.16,433.356,0.600756,433.957,0.481917,0.280113
340,0.17,417.134,0.489384,417.624,0.501417,0.267893
360,0.18,428.1,0.44921,428.549,0.488374,0.26843
380,0.19,412.13,0.471251,412.602,0.507412,0.2573
400,0.2,289.594,0.577982,290.172,0.653576,0.254449
420,0.21,347.854,0.543457,348.397,0.584063,0.244576
440,0.22,341.563,0.565727,342.129,0.591546,0.24225
460,0.23,318.428,0.472963,318.901,0.619278,0.232547
480,0.24,361.648,0.51129,362.159,0.567633,0.229803
500,0.25,362.549,0.591965,363.14,0.566462,0.225658
520,0.26,374.978,0.63007,375.608,0.551577,0.22352
540,0.27,393.316,0.785308,394.101,0.529499,0.217197
560,0.28,386.62,0.726653,387.347,0.537563,0.211333
580,0.29,309.308,0.599968,309.908,0.630014,0.210002
600,0.3,282.895,0.533193,283.428,0.661627,0.216249
620,0.31,334.617,0.515042,335.132,0.5999,0.226351
640,0.32,345.255,0.478039,345.733,0.587244,0.232172
660,0.33,284.017,0.437957,284.455,0.660401,0.23771
680,0.34,432.366,0.629669,432.996,0.483065,0.241982
700,0.35,380.989,0.567672,381.557,0.544476,0.250465
720,0.36,345.141,0.657535,345.798,0.587166,0.251434
740,0.37,376.762,0.775403,377.537,0.549275,0.253375
760,0.38,427.342,0.75108,428.093,0.488918,0.254944
780,0.39,361.297,0.676134,361.973,0.567856,0.253333
800,0.4,360.063,0.692513,360.755,0.569309,0.253417
820,0.41,460.119,0.738953,460.858,0.449801,0.251966
840,0.42,438.858,0.648316,439.506,0.475292,0.254593
860,0.43,421.015,0.559376,421.575,0.4967,0.254432
880,0.44,389.956,0.548465,390.504,0.533794,0.252107
900,0.45,353.382,0.550895,353.933,0.577455,0.248792
920,0.46,468.365,0.569516,468.934,0.440159,0.24457
940,0.47,436.527,0.531766,437.058,0.478214,0.242628
960,0.48,436.764,0.507416,437.271,0.477961,0.238413
980,0.49,441.533,0.658049,442.191,0.472087,0.238039
1000,0.5,415.576,0.625355,416.201,0.503115,0.234297
1020,0.51,478.278,0.496832,478.775,0.428411,0.231987
1040,0.52,501.433,0.514463,501.947,0.400746,0.226624
1060,0.53,465.287,0.641835,465.928,0.443748,0.221437
1080,0.54,488.888,0.563466,489.452,0.415664,0.224647
1100,0.55,462.67,0.549257,463.219,0.446982,0.219737
1120,0.56,569.953,0.525535,570.479,0.318929,0.217169
1140,0.57,582.107,0.55811,582.666,0.30438,0.211951
1160,0.58,620.733,0.499197,621.232,0.258337,0.208868
1180,0.59,618.536,0.588576,619.125,0.260853,0.209807
1200,0.6,553.061,0.540606,553.602,0.339078,0.204822
1220,0.61,731.944,0.688124,732.632,0.125341,0.207323
1240,0.62,666.225,0.711826,666.937,0.203772,0.207256
1260,0.63,736.037,0.741926,736.779,0.120391,0.208163
1280,0.64,860.282,0.934018,861.216,0.028169,0.211864
1300,0.65,736.793,0.852495,737.646,0.119356,0.215328
1320,0.66,751.308,0.83043,752.139,0.102053,0.215753
1340,0.67,669.274,0.791045,670.066,0.200037,0.213535
1360,0.68,852.417,0.56875,852.986,0.0183436,0.202716
1380,0.69,789.751,0.578328,790.33,0.0564588,0.18467
1400,0.7,599.546,0.631028,600.177,0.283473,0.191377
1420,0.71,553.83,0.62412,554.454,0.338061,0.195302
1440,0.72,608.468,0.473382,608.941,0.273011,0.192952
1460,0.73,617.737,0.521781,618.259,0.261887,0.192152
1480,0.74,583.514,0.437546,583.952,0.302845,0.233546
1500,0.75,509.827,0.644452,510.471,0.39057,0.276665
1520,0.76,518.765,0.620534,519.385,0.379928,0.287639
1540,0.77,619.711,0.612049,620.323,0.259422,0.286423
1560,0.78,723.988,0.497504,724.486,0.135067,0.258128
1580,0.79,508.287,0.498688,508.786,0.392582,0.232463
1600,0.8,611.34,0.559538,611.9,0.269479,0.208854
1620,0.81,564.907,0.534878,565.442,0.324943,0.198356
1640,0.82,613.712,0.557834,614.27,0.266649,0.199109
1660,0.83,624.633,0.541296,625.175,0.25363,0.188905
1680,0.84,569.861,0.641615,570.503,0.318901,0.174128
1700,0.85,565.88,0.471321,566.351,0.323857,0.184608
1720,0.86,620.222,0.536249,620.758,0.258903,0.178794
1740,0.87,595.493,0.603903,596.097,0.288345,0.16968
1760,0.88,560.772,0.434666,561.207,0.329998,0.16201
1780,0.89,729.641,0.483415,730.125,0.128335,0.157877
1800,0.9,657.188,0.500835,657.689,0.214813,0.145103
1820,0.91,566.557,0.401304,566.958,0.323132,0.13458
1840,0.92,591.203,0.475242,591.678,0.293621,0.138786
1860,0.93,525.08,0.652826,525.733,0.37235,0.161893
1880,0.94,499.894,0.520753,500.415,0.402575,0.157586
1900,0.95,561.767,0.609406,562.376,0.328603,0.149774
1920,0.96,499.589,0.493089,500.082,0.402973,0.151669
1940,0.97,637.394,0.485286,637.88,0.238462,0.145992
1960,0.98,588.069,0.469571,588.539,0.297369,0.143375
1980,0.99,529.956,0.439903,530.396,0.366783,0.145408
2000,1,563.043,0.55475,563.598,0.327144,0.150849
